ACADO Toolkit::IntegratorRK -- A Runge Kutta integrator.
Copyright (C) 2008-2014 by Boris Houska, Hans Joachim Ferreau,
Milan Vukov, Rien Quirynen, KU Leuven.
Developed within the Optimization in Engineering Center (OPTEC)
under supervision of Moritz Diehl. All rights reserved.

ACADO Toolkit is distributed under the terms of the GNU Lesser
General Public License 3 in the hope that it will be useful,
but WITHOUT ANY WARRANTY; without even the implied warranty of
MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the
GNU Lesser General Public License for more details.

RK: t = 0       x[0] = 1.000000e+00x[1] = 0.000000e+00
RK: t = 1.000000e-03  h = 1.000000e-03  x[0] = 9.999959e-01  x[1] = -8.246574e-03  
RK: t = 1.221353e-02  h = 1.121353e-02  x[0] = 9.993893e-01  x[1] = -9.958611e-02  
RK: t = 2.882786e-02  h = 1.661432e-02  x[0] = 9.966361e-01  x[1] = -2.310689e-01  
RK: t = 5.417025e-02  h = 2.534239e-02  x[0] = 9.883293e-01  x[1] = -4.226912e-01  
RK: t = 8.394621e-02  h = 2.977596e-02  x[0] = 9.725612e-01  x[1] = -6.339002e-01  
RK: t = 1.170875e-01  h = 3.314128e-02  x[0] = 9.479020e-01  x[1] = -8.510621e-01  
RK: t = 1.522948e-01  h = 3.520733e-02  x[0] = 9.141822e-01  x[1] = -1.060818e+00  
RK: t = 1.887785e-01  h = 3.648364e-02  x[0] = 8.718638e-01  x[1] = -1.255090e+00  
RK: t = 2.259992e-01  h = 3.722076e-02  x[0] = 8.218398e-01  x[1] = -1.428703e+00  
RK: t = 2.635953e-01  h = 3.759612e-02  x[0] = 7.652295e-01  x[1] = -1.578475e+00  
RK: t = 3.013280e-01  h = 3.773270e-02  x[0] = 7.032449e-01  x[1] = -1.702587e+00  
RK: t = 3.390484e-01  h = 3.772039e-02  x[0] = 6.370986e-01  x[1] = -1.800179e+00  
RK: t = 3.766748e-01  h = 3.762637e-02  x[0] = 5.679476e-01  x[1] = -1.871089e+00  
RK: t = 4.141752e-01  h = 3.750036e-02  x[0] = 4.968644e-01  x[1] = -1.915665e+00  
RK: t = 4.515530e-01  h = 3.737783e-02  x[0] = 4.248283e-01  x[1] = -1.934640e+00  
RK: t = 4.888355e-01  h = 3.728255e-02  x[0] = 3.527297e-01  x[1] = -1.929045e+00  
RK: t = 5.260644e-01  h = 3.722889e-02  x[0] = 2.813811e-01  x[1] = -1.900156e+00  
RK: t = 5.632884e-01  h = 3.722393e-02  x[0] = 2.115283e-01  x[1] = -1.849465e+00  
RK: t = 6.005576e-01  h = 3.726926e-02  x[0] = 1.438602e-01  x[1] = -1.778663e+00  
RK: t = 6.378505e-01  h = 3.729289e-02  x[0] = 7.913301e-02  x[1] = -1.689807e+00  
RK: t = 6.748840e-01  h = 3.703343e-02  x[0] = 1.843157e-02  x[1] = -1.586001e+00  
RK: t = 7.119117e-01  h = 3.702773e-02  x[0] = -3.816665e-02  x[1] = -1.469089e+00  
RK: t = 7.497801e-01  h = 3.786840e-02  x[0] = -9.135743e-02  x[1] = -1.338516e+00  
RK: t = 7.878642e-01  h = 3.808414e-02  x[0] = -1.396928e-01  x[1] = -1.198620e+00  
RK: t = 8.259434e-01  h = 3.807915e-02  x[0] = -1.825731e-01  x[1] = -1.052761e+00  
