*** SIMULATION LOOP NO. 1 (starting at time 0.000) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  4.851235e-11 |  2.507026e-04 |  2.507026e-04 |  1.000000e+00 | 
     2 |      0 |  1.807955e-11 |  2.137386e-04 |  2.137386e-04 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 2 (starting at time 0.050) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  6.889507e-11 |  1.848812e-04 |  1.848812e-04 |  1.000000e+00 | 
     2 |      0 |  1.211657e-11 |  1.758513e-04 |  1.758513e-04 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 3 (starting at time 0.100) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  3.019466e-11 |  1.508795e-04 |  1.508795e-04 |  1.000000e+00 | 
     2 |      0 |  9.600015e-12 |  1.441816e-04 |  1.441816e-04 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 4 (starting at time 0.150) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.420794e-11 |  1.020435e-04 |  1.020435e-04 |  1.000000e+00 | 
     2 |      0 |  4.158229e-12 |  1.007742e-04 |  1.007743e-04 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 5 (starting at time 0.200) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.660665e-11 |  6.457638e-05 |  6.457640e-05 |  1.000000e+00 | 
     2 |      0 |  8.413447e-13 |  6.319414e-05 |  6.319414e-05 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 6 (starting at time 0.250) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  5.950379e-12 |  4.118554e-05 |  4.118555e-05 |  1.000000e+00 | 
     2 |      0 |  8.328134e-13 |  3.967551e-05 |  3.967551e-05 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 7 (starting at time 0.300) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  2.574448e-11 |  2.703236e-05 |  2.703240e-05 |  1.000000e+00 | 
     2 |      0 |  1.872680e-12 |  2.575445e-05 |  2.575445e-05 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 8 (starting at time 0.350) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  3.457817e-12 |  2.004752e-05 |  2.004752e-05 |  1.000000e+00 | 
     2 |      0 |  2.258533e-12 |  1.929227e-05 |  1.929227e-05 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 9 (starting at time 0.400) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  6.714772e-12 |  1.563976e-05 |  1.563977e-05 |  1.000000e+00 | 
     2 |      0 |  1.054594e-12 |  1.517362e-05 |  1.517363e-05 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 10 (starting at time 0.450) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  8.059923e-13 |  1.259301e-05 |  1.259301e-05 |  1.000000e+00 | 
     2 |      0 |  1.510249e-12 |  1.239889e-05 |  1.239889e-05 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 11 (starting at time 0.500) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.803739e-12 |  1.020122e-05 |  1.020123e-05 |  1.000000e+00 | 
     2 |      0 |  4.352959e-13 |  1.007140e-05 |  1.007140e-05 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 12 (starting at time 0.550) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  8.397527e-13 |  8.164567e-06 |  8.164568e-06 |  1.000000e+00 | 
     2 |      0 |  2.301768e-13 |  8.077053e-06 |  8.077053e-06 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 13 (starting at time 0.600) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  4.468180e-13 |  6.431704e-06 |  6.431704e-06 |  1.000000e+00 | 
     2 |      0 |  2.299342e-13 |  6.354611e-06 |  6.354611e-06 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 14 (starting at time 0.650) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  4.680915e-13 |  4.973920e-06 |  4.973921e-06 |  1.000000e+00 | 
     2 |      0 |  6.289438e-13 |  4.906178e-06 |  4.906179e-06 |  1.000000e+00 | 

*** SIMULATION LOOP NO. 15 (starting at time 0.700) ***
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |      0 |  1.225332e-13 |  3.818191e-06 |  3.818191e-06 |  1.000000e+00 | 
