sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
     1 |     11 |  4.015966e+01 |  9.950000e+00 |  5.419249e+01 |  1.000000e+00 | 
     2 |      1 |  1.306070e-01 |  9.931631e+00 |  1.006632e+01 |  1.000000e+00 | 
     3 |      1 |  2.549335e-02 |  9.906147e+00 |  9.906158e+00 |  1.000000e+00 | 
     4 |      1 |  7.484607e-02 |  9.831350e+00 |  9.831410e+00 |  1.000000e+00 | 
     5 |      2 |  3.457549e-01 |  9.487488e+00 |  9.489759e+00 |  1.000000e+00 | 
     6 |     12 |  3.045474e-01 |  9.190947e+00 |  9.200555e+00 |  1.000000e+00 | 
     7 |     19 |  5.194080e-01 |  8.691541e+00 |  8.715543e+00 |  1.000000e+00 | 
     8 |     14 |  4.739167e-01 |  8.248118e+00 |  8.284711e+00 |  1.000000e+00 | 
     9 |     17 |  3.334551e-01 |  7.927619e+00 |  7.943166e+00 |  1.000000e+00 | 
sqp it | qp its |       kkt tol |       obj val |     merit val |      ls param | 
    10 |     18 |  4.999093e-01 |  7.457878e+00 |  7.494079e+00 |  1.000000e+00 | 
    11 |     19 |  1.652661e-02 |  7.441887e+00 |  7.442529e+00 |  1.000000e+00 | 
    12 |     19 |  1.460624e-04 |  7.441741e+00 |  7.441741e+00 |  1.000000e+00 | 
    13 |     19 |  1.190104e-07 |  7.441741e+00 |  7.441741e+00 |  1.000000e+00 | 

Covergence achieved. Demanded KKT tolerance is 1.000000e-06.
